word,isTarget
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1
apple,1
orange,0
peach,0
button,0
wheel,0
basketball,0
apple,1
apple,1